	| TimeStamp					| Thread | Level	| Method = Message	
	| 2021-07-03 11:23:46,244	| 1 	 | INFO 	| Form1_Load	= IP CHANGER Version 2.5.0.0
 	| 2021-07-03 11:23:46,264	| 1 	 | INFO 	| Form1_Load	= Reloading My.Settings
 	| 2021-07-03 11:23:46,276	| 1 	 | INFO 	| Form1_Load	= My.Settings.ConfigFilePath = C:\Users\Igor\Documents\Visual Studio 2017\Projects\IP CHANGER v2.5.0.0\IP CHANGER\bin\Debug\Config_NOVI.ini
 	| 2021-07-03 11:23:46,277	| 1 	 | INFO 	| Form1_Load	= My.Settings.AutoLoadConfigFile = True
 	| 2021-07-03 11:23:46,277	| 1 	 | INFO 	| Form1_Load	= My.Settings.AutoLoadNic = True
 	| 2021-07-03 11:23:46,278	| 1 	 | INFO 	| Form1_Load	= My.Settings.LastNICUsed = [00000007] Realtek PCIe GbE Family Controller
 	| 2021-07-03 11:23:46,278	| 1 	 | INFO 	| Form1_Load	= My.Settings.CheckForUsedIP = True
 	| 2021-07-03 11:23:46,279	| 1 	 | INFO 	| Form1_Load	= My.Settings.CheckForEnabledNIC = True
 	| 2021-07-03 11:23:46,279	| 1 	 | INFO 	| Form1_Load	= My.Settings.CheckForIPv6 = True
 	| 2021-07-03 11:23:46,280	| 1 	 | INFO 	| Form1_Load	= My.Settings.VerifyIPaddress = True
 	| 2021-07-03 11:23:46,280	| 1 	 | INFO 	| Form1_Load	= Form load Finished
 	| 2021-07-03 11:23:46,285	| 1 	 | INFO 	| BtnNetScan_Click	= Scanning for network adapters...
 	| 2021-07-03 11:23:46,303	| 1 	 | INFO 	| BtnNetScan_Click	= Selecting query filter Win32_NetworkAdapter 
 	| 2021-07-03 11:23:46,540	| 1 	 | INFO 	| BtnNetScan_Click	= Found network device: [00000001] Realtek PCIe GbE Family Controller
 	| 2021-07-03 11:23:46,542	| 1 	 | INFO 	| BtnNetScan_Click	= Found network device: [00000002] Intel(R) Wi-Fi 6 AX201 160MHz
 	| 2021-07-03 11:23:46,545	| 1 	 | INFO 	| BtnNetScan_Click	= Found network device: [00000005] Bluetooth Device (Personal Area Network)
 	| 2021-07-03 11:23:46,548	| 1 	 | INFO 	| BtnNetScan_Click	= Found network device: [00000006] Xbox Wireless Adapter for Windows
 	| 2021-07-03 11:23:46,550	| 1 	 | INFO 	| BtnNetScan_Click	= Found network device: [00000007] Realtek PCIe GbE Family Controller
